Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,roads,dump_sites,agricultural_fields,Air Quality,Latitude,Longitude
33.2,72.0,4.1,16.3,24.8,6.6,2.02,5.9,662,37,1,0,,16.413730464573824,79.40396204812649
40.8,93.8,11.3,27.2,53.4,23.2,2.72,4.7,688,33,2,3,,18.004815662197057,76.09187765334181
16.0,64.1,13.4,18.9,24.4,2.0,1.0,12.2,487,42,0,3,,17.780864767779143,83.40131512214171
30.9,73.7,5.5,10.2,32.5,2.3,1.83,6.9,653,36,2,8,,19.792896742149825,74.92626543079112
35.0,80.2,11.9,24.4,30.4,14.1,1.71,4.5,617,28,3,6,,18.665917744101606,80.04615395466854
31.2,86.3,39.3,52.8,16.8,9.9,1.73,5.9,571,17,2,0,,17.80449300011982,75.59065777143235
26.0,86.8,85.4,95.8,24.8,3.9,1.23,5.4,481,27,4,9,,16.21014801063516,83.82208769543753
25.4,74.2,40.6,46.1,19.7,9.9,1.32,6.1,459,21,2,11,,17.643649817007912,81.37324391814113
38.5,83.8,19.5,31.0,28.0,14.3,2.22,7.3,443,24,2,11,,17.258906941757587,79.78718175174696
30.9,89.0,7.3,30.9,37.3,6.8,2.21,4.4,660,35,0,1,,18.885699449587857,81.19847376217271
45.5,67.6,51.4,64.5,36.9,9.4,1.93,4.2,467,46,0,7,,19.384203644982215,83.5531030729228
23.2,86.5,3.1,21.4,22.3,15.0,1.56,7.3,601,33,2,1,,24.831806526612787,75.64555574153691
38.9,77.5,5.2,25.6,43.7,15.4,2.32,4.2,610,18,1,13,,22.089996850890525,80.08281472634518
32.8,63.6,33.1,54.9,33.0,19.6,1.48,4.7,655,34,1,6,,15.843414542058525,80.15887386454892
49.9,91.6,26.6,51.1,31.8,29.0,2.48,5.4,849,41,3,4,,25.207322927720924,79.3849989476059
30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416,23,2,3,,16.5949019389645,80.85069032103748
26.6,66.0,2.2,3.7,27.7,11.7,1.63,6.6,395,28,4,7,,19.049888105544067,78.4156111225413
40.6,92.2,80.4,103.6,45.8,12.1,1.97,6.8,744,30,3,8,,17.11853187235192,78.50963199264136
26.0,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546,22,2,0,,22.375050291055278,75.63854730185074
33.0,47.0,16.4,23.0,26.3,4.9,1.22,9.8,655,36,1,11,,22.812365821846633,80.87979934495851
17.7,75.2,3.5,8.0,18.6,2.0,1.04,13.0,593,28,1,7,,22.78500761760295,74.92509966581235
31.5,55.4,50.2,68.7,31.5,6.0,2.13,4.4,529,34,2,11,,18.22638845015855,81.3880577038207
40.0,94.4,19.9,49.3,51.0,22.5,2.47,4.1,601,21,5,12,,16.2311725610041,80.39895561634083
39.5,70.4,9.9,30.3,48.3,36.8,2.68,3.2,896,25,4,5,,22.993720462059432,74.91765158396265
25.3,73.8,6.5,19.1,32.4,12.6,1.2,5.5,419,37,1,9,,22.959368144117228,82.26598771468343
18.9,63.2,6.2,8.0,13.9,5.0,1.09,10.3,410,26,0,3,,17.386141948942324,75.48362696931207
28.2,73.5,3.8,14.8,24.8,11.1,1.11,7.0,577,47,0,4,,20.6863369585899,81.55255546361377
34.3,102.4,38.8,58.4,40.4,12.8,2.09,2.7,811,26,5,12,,17.813278420826826,80.7582346818007
27.8,56.7,6.7,18.0,26.9,6.1,1.64,6.1,371,32,4,3,,24.315547982128006,77.29452528622346
26.7,52.8,27.3,31.8,15.6,1.9,0.89,11.9,318,39,2,6,,24.953526436905953,77.07041698533237
38.2,110.1,0.1,12.5,41.7,15.8,1.98,6.2,709,15,2,2,,23.081053597526903,79.49471909981848
27.8,79.0,16.6,24.0,25.5,5.2,1.06,10.3,359,12,4,3,,16.177217843896212,79.29129923760213
22.1,41.0,14.8,20.3,12.8,4.9,1.18,15.0,217,14,3,3,,21.881835132025685,78.90888508080573
22.9,57.4,15.9,22.8,20.6,7.5,0.91,10.4,336,42,6,11,,24.889371726778904,78.76853239876482
21.9,45.1,13.9,15.3,26.3,1.4,0.92,11.4,262,24,0,8,,23.449005084190404,81.60280108837357
22.7,68.4,14.6,25.8,26.5,3.0,1.37,5.4,321,55,3,9,,23.67180225907511,74.10615025535823
22.4,69.0,9.2,12.2,18.7,4.0,1.15,12.8,245,24,1,0,,21.25683276100723,75.6888358989732
26.1,61.7,5.3,8.6,19.5,9.1,1.07,15.4,381,31,1,6,,18.536708766897632,79.27927904607756
23.9,62.9,8.9,17.3,17.4,4.5,0.93,13.6,494,45,1,4,,23.190839142243988,76.5940858764
24.6,62.7,13.5,17.9,29.4,7.9,1.51,6.2,510,50,5,7,,15.965345906706728,82.26430046496165
25.4,80.0,3.5,11.4,24.1,8.9,1.03,13.7,373,50,6,15,,25.420930267572224,76.36966445765623
25.5,63.8,2.2,4.3,24.9,4.7,1.1,13.4,459,42,1,0,,20.394418685451768,79.68092294049143
27.8,42.1,1.5,5.3,13.5,3.8,1.09,10.8,527,40,2,7,,19.21293497652384,77.84531591371962
28.2,61.2,1.2,10.9,22.7,7.1,1.86,8.6,501,35,0,14,,19.815562165569936,83.83333954044491
37.7,83.0,109.4,119.8,43.1,11.3,1.64,6.1,614,37,0,3,,22.764819945572764,77.82339344835336
31.3,73.4,72.8,88.8,54.1,17.1,2.54,2.6,755,24,4,6,,17.00828272424462,78.18167369072563
30.4,51.1,1.2,8.0,17.1,4.7,1.0,11.6,576,21,2,8,,21.353404613990072,80.1124546953264
42.6,106.6,82.4,97.2,50.6,16.0,3.17,2.8,719,29,1,0,,17.7557064870711,82.5810854121982
32.4,88.5,37.8,57.3,48.5,21.2,2.23,3.4,769,28,2,7,,22.832992270327317,76.80177328739305
24.0,43.4,5.4,9.5,15.8,1.7,0.98,11.0,441,25,0,2,,20.192296498325625,77.87577279392892
28.2,62.7,0.1,7.5,17.4,4.7,0.87,12.0,528,36,0,14,,16.97364206697856,80.33577224942745
31.2,62.3,0.9,8.7,20.4,15.0,1.49,8.6,599,39,2,5,,19.600297780686603,77.05956451431761
33.2,57.3,6.3,20.3,31.2,5.8,1.69,8.2,316,30,2,3,,15.575611881521697,76.80360636965871
43.4,78.1,37.0,52.3,44.6,16.0,2.03,2.5,799,44,0,9,,17.094726096607836,78.34146370538372
36.0,89.8,33.0,47.9,26.0,-0.1,1.74,4.3,490,18,2,7,,19.803992727477183,79.62290779530986
33.1,57.8,17.2,33.0,28.3,9.2,1.38,5.2,642,28,1,9,,23.498542253723194,78.53944339851978
34.4,94.5,25.5,48.8,26.3,9.9,1.47,9.3,457,22,3,13,,19.72983337535903,77.41769318045705
23.1,39.7,23.4,27.8,20.4,9.6,1.06,10.5,314,11,4,3,,18.028201208218054,82.36237870840478
23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313,29,4,12,,24.77561328894945,78.00420764397545
42.0,77.8,36.0,43.7,52.3,22.3,2.42,5.6,846,28,2,13,,20.380545454705505,77.72902922554434
35.8,80.0,37.1,44.5,38.0,14.8,2.03,3.5,538,45,4,2,,16.155283912405878,77.46219510680292
32.0,89.4,3.6,17.4,21.8,15.8,1.34,5.4,325,36,4,3,,23.008975867917346,82.19672314796253
23.8,79.3,9.2,10.6,22.5,5.5,1.05,12.3,544,19,2,6,,16.56430291071969,74.77552181795292
26.6,95.9,163.1,172.9,32.4,22.5,1.84,4.2,590,48,2,5,,19.86961131845839,74.58986926409646
27.0,73.6,0.9,3.1,13.9,4.4,1.2,10.2,488,42,0,12,,24.399461074819506,78.8515731114869
35.3,70.3,27.3,31.9,27.4,11.1,1.75,9.3,635,35,4,2,,18.664838526293483,75.37337374063436
25.8,68.3,12.6,19.0,13.0,6.6,1.09,11.2,310,27,3,6,,20.496128597569033,80.84540754638186
22.3,66.1,11.3,15.4,26.8,14.1,1.32,5.5,497,20,2,2,,16.382927152489813,75.40609622442595
36.7,44.6,2.4,5.8,28.8,18.1,1.63,8.7,502,26,3,6,,21.50453849854821,79.92352541826784
31.4,81.3,12.3,15.1,31.7,11.9,1.44,5.5,447,40,3,14,,23.740902851948086,81.0423426489613
22.5,56.1,27.4,33.8,19.0,5.4,0.87,16.6,492,48,2,13,,19.65189408943862,79.71263274225214
35.3,82.2,73.9,91.1,34.3,7.1,2.54,5.5,659,45,6,7,,17.643272716258114,80.16263320863368
31.3,71.5,20.2,28.6,21.6,4.4,1.02,13.7,306,25,1,8,,22.661325082312615,74.3416304977323
31.7,71.7,18.9,24.8,13.5,3.7,0.78,23.4,369,18,2,7,,18.73578291732701,76.22322384196958
28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604,31,2,4,,16.84693099638486,77.87782536441249
55.9,87.8,33.9,52.7,28.6,17.5,2.51,2.9,834,12,2,13,,22.70049015204934,75.28211950018799
28.7,69.0,19.1,33.7,19.4,11.0,1.24,9.7,589,33,3,11,,18.3520312940886,76.63796360855282
18.0,43.2,5.4,10.0,16.4,2.2,1.07,14.5,571,28,2,6,,17.626554413084683,83.60010632471324
27.6,51.3,6.0,12.7,32.6,6.4,1.44,5.1,386,25,3,5,,18.076438940729552,81.56674363412033
26.6,49.0,8.9,12.6,15.1,0.3,0.79,11.8,337,14,1,5,,16.48579114625435,76.61749513860329
28.7,55.1,20.5,23.6,17.3,2.6,0.86,11.9,347,35,1,7,,16.11194602830941,75.550166511061
30.3,58.1,1.8,13.5,29.6,6.5,1.54,8.5,524,24,0,5,,22.35783047436541,74.19832876667724
20.6,88.6,47.9,57.9,28.9,12.3,1.94,5.4,412,18,6,10,,21.960097165752643,83.04490467052648
23.5,62.3,6.9,13.9,18.3,4.1,0.92,11.4,196,1,2,7,,22.772748265272043,80.19647649618881
26.6,56.1,1.6,4.6,23.2,4.4,0.87,10.2,322,29,6,2,,20.82487066071818,82.1814026479721
36.6,93.3,46.6,54.0,29.8,19.6,2.12,4.7,624,47,2,1,,22.38361034614302,81.18624842950797
29.2,73.0,26.4,30.5,9.3,4.1,1.14,11.2,350,46,1,9,,18.1361602007125,78.6513705482077
31.9,70.7,20.2,28.7,29.2,9.7,1.39,6.4,689,25,1,1,,20.895171655912765,77.61245938337046
23.1,50.9,6.1,9.2,14.0,8.3,0.87,11.0,287,23,0,4,,17.150362481936792,81.0920113863626
20.9,62.3,7.4,11.1,20.6,3.0,0.96,13.1,295,34,2,4,,21.11359673629936,78.36851064852407
39.8,108.4,30.3,39.3,32.2,21.5,2.03,3.0,572,20,2,1,,20.047003329862918,77.64099550178531
30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574,33,5,7,,15.832031170341573,78.1776494103626
37.9,67.4,57.9,71.0,21.3,12.3,1.89,4.1,824,37,1,5,,16.106634553049826,74.94926876689341
26.7,77.8,4.8,10.4,20.8,6.4,1.05,15.3,294,42,1,3,,20.785934475796537,77.38319571982024
34.7,87.7,44.8,46.0,35.8,11.9,2.11,4.5,473,28,2,14,,20.692855270501955,80.59126424977565
34.8,70.4,28.9,46.6,35.7,14.4,1.61,4.1,805,27,2,0,,19.878041235250564,74.0220126997558
31.8,67.6,9.8,15.1,29.2,2.1,1.64,6.7,454,21,2,2,,19.234802286243966,81.70761296043635
49.2,81.8,89.9,113.7,48.6,21.6,1.97,2.7,654,21,0,3,,20.52714657424613,82.58701801759464
46.4,79.4,116.9,130.4,39.5,25.1,3.14,2.8,577,27,3,0,,19.681775025537455,77.45528465054467
23.6,72.6,1.1,4.7,14.0,4.0,1.12,13.0,300,33,3,15,,15.601764849524113,82.32474683135987
29.1,58.0,8.9,13.8,14.6,5.1,0.97,11.3,582,39,3,14,,19.43098241908282,81.89044615833681
34.7,61.7,30.8,38.5,44.7,26.7,2.31,6.4,436,21,1,3,,21.187191321939054,78.93306028498968
21.4,65.3,9.9,12.7,25.5,2.5,1.01,11.7,295,44,3,11,,18.448501402208407,77.6761335472135
29.2,54.0,4.7,17.1,37.9,18.2,1.75,7.4,543,27,1,8,,22.65274688492012,74.57052519546772
29.9,69.7,4.0,13.5,25.5,10.5,1.52,11.8,668,29,2,12,,17.70023589084736,82.78831080991988
25.1,43.3,23.0,28.6,24.2,3.9,1.01,16.0,392,22,2,5,,24.86524784462769,82.99892603359602
23.2,44.4,4.2,10.9,15.6,8.9,0.86,10.2,289,5,1,7,,21.773120689469124,74.7723295659369
23.3,71.1,23.0,39.0,29.5,11.6,1.21,15.6,404,38,5,11,,19.167536372478537,83.05718848989437
30.1,88.2,66.2,70.9,25.0,14.4,1.37,6.4,512,37,1,10,,20.444122197032172,75.51019545677627
35.0,92.4,7.4,29.0,25.0,17.9,2.16,6.8,718,27,2,6,,22.2102239878084,74.05013763661383
31.3,75.9,2.7,9.3,29.5,10.7,1.17,5.1,697,30,1,2,,19.844786946880724,81.0412643081729
31.5,67.6,33.4,46.2,22.8,0.7,2.07,5.4,446,35,4,2,,20.026795615558868,81.78116311419417
35.7,99.9,20.2,33.8,37.7,18.5,2.08,7.1,599,14,2,0,,16.360111483421342,78.59586601894564
37.3,68.2,4.3,20.8,40.3,20.0,2.01,5.4,681,24,1,9,,23.814267529246713,76.63404316937091
21.9,68.0,32.0,37.2,25.5,1.8,1.14,12.3,211,37,1,6,,19.509569523257717,82.21612535383187
24.9,47.4,26.1,32.3,11.3,9.8,0.89,17.5,266,17,1,7,,18.2997546566578,83.03178767415768
33.2,59.6,11.5,15.6,23.6,6.4,1.25,5.6,463,32,3,5,,22.69851846004552,82.2273061918879
25.1,81.3,11.9,21.9,33.8,8.1,1.48,13.9,625,16,1,1,,25.47055682872765,75.1777601493947
27.6,62.5,8.7,16.0,18.4,3.7,1.02,10.4,235,34,1,7,,20.455478886642346,80.84409339812225
26.8,50.9,17.8,25.3,21.3,3.2,0.98,11.5,346,29,3,8,,23.395105867200115,76.16003218197194
37.5,95.7,6.1,28.0,32.9,20.7,1.73,8.9,802,13,3,2,,22.85738767360855,79.96206494405592
26.7,77.3,27.1,33.3,24.1,2.5,1.12,10.3,501,41,2,5,,21.719600074574647,83.13216987505298
23.9,79.8,35.5,48.2,25.8,11.1,1.77,8.8,441,22,0,3,,16.483995062050496,80.02460031920027
29.8,112.5,40.7,55.3,37.6,25.4,3.17,5.4,662,21,1,5,,18.192229475312836,76.40830241068682
26.2,85.9,48.1,60.2,19.8,9.0,1.56,7.1,286,32,2,1,,24.50733288587672,81.06886617928916
26.9,74.7,2.7,10.7,25.6,4.3,0.99,10.2,271,41,1,4,,21.18562421414684,76.33415570912274
37.4,77.5,14.6,21.9,28.2,6.5,1.09,5.8,642,19,0,12,,19.81348266360896,76.0710277602615
26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577,30,0,3,,24.73396931257304,78.2089448935891
36.6,113.1,143.0,167.3,41.8,11.7,2.43,2.7,644,34,0,3,,24.121100530614605,79.34282933547088
37.1,105.0,124.5,136.4,41.9,26.0,2.6,2.6,849,36,2,3,,15.75256967406659,74.83226646317851
19.6,74.7,1.0,4.6,22.9,4.1,0.94,10.4,388,31,0,5,,20.821008418956378,74.9175879949599
27.0,66.2,6.3,9.7,13.4,4.6,1.0,13.3,299,26,0,13,,20.408810700909825,74.48775414832885
33.8,68.4,24.4,30.4,25.6,7.7,1.26,5.4,599,21,5,11,,16.77856532445534,78.04942110047675
24.7,55.9,18.5,23.2,18.6,2.7,0.94,10.5,365,30,3,5,,18.433176323025908,81.14932516128367
21.7,76.4,20.8,25.5,20.9,2.8,0.95,10.1,506,19,1,3,,24.302465253570645,74.09150575767765
24.6,77.2,6.5,11.2,24.4,5.4,0.65,11.4,573,0,0,0,,24.49440181900153,75.63991672390384
26.5,45.3,9.4,15.0,13.1,0.4,0.99,11.0,224,34,2,2,,16.971262521622954,83.75417302532391
22.1,53.8,6.9,19.6,18.8,5.7,1.65,9.6,457,39,0,0,,23.10792429125454,77.29738181053041
39.5,109.6,84.7,99.4,30.1,18.9,3.48,3.2,792,6,1,8,,17.25546556013064,76.88743731681066
28.4,65.8,10.9,22.2,27.5,11.9,1.7,6.1,524,19,1,11,,24.6613686622388,82.33126779221266
32.6,78.3,4.6,24.6,25.8,21.2,1.97,5.9,540,36,2,4,,15.944098725958114,75.29650189584495
31.9,65.2,15.9,19.4,30.3,28.2,1.82,8.2,771,50,2,7,,17.153013006242904,82.15822322103931
25.4,75.3,0.7,2.9,23.3,7.3,0.85,17.0,325,30,3,1,,18.825709494767935,77.40499335588531
43.2,85.0,152.7,178.1,38.6,28.2,2.7,2.8,627,22,2,0,,16.911180174563775,83.26757904933768
23.3,70.8,23.7,36.1,23.5,8.4,1.43,7.6,450,28,2,6,,24.61049665215628,79.2751789468705
26.1,78.1,6.2,11.5,13.0,5.3,0.88,15.8,585,43,2,7,,24.725301383035358,75.03687392152976
32.2,81.3,3.9,15.4,46.5,20.9,2.03,3.1,705,23,0,12,,21.875745239527113,80.85061955495526
32.0,62.5,0.1,5.1,20.2,4.6,0.89,10.2,201,22,2,14,,15.662870205261084,79.86678744624798
31.2,77.6,12.1,15.2,26.6,4.5,0.91,10.3,410,25,0,4,,15.725826542829957,74.62463880762257
22.6,72.0,40.4,46.2,14.6,4.5,1.04,14.8,270,20,0,9,,18.51364307326272,80.52072490835279
17.5,45.0,21.2,25.9,14.3,5.3,0.78,12.1,492,31,4,7,,19.808953982340686,77.67028018993543
47.1,104.3,0.7,3.4,34.4,5.9,2.34,3.3,844,46,2,6,,16.36893822508891,75.80141711486144
23.7,73.0,16.4,21.4,21.7,9.5,1.66,6.0,386,33,3,5,,22.92696486177146,75.58610344580403
23.5,60.8,10.3,14.3,12.8,1.7,0.98,10.6,208,27,4,5,,16.005719911055337,80.48544507850097
39.7,85.9,67.6,88.8,21.3,22.3,1.9,4.5,616,27,4,5,,17.403217969979238,75.9515728233753
47.3,64.8,2.5,21.8,41.0,17.3,1.95,2.6,779,14,1,12,,18.953554225464238,83.76064729940435
34.0,83.2,19.3,39.1,45.1,21.0,2.28,9.9,496,38,3,6,,20.581311883803167,80.4076101138675
22.9,63.8,2.9,9.4,16.7,0.4,0.98,10.7,593,29,1,12,,16.90443896462892,81.40022762620535
38.4,66.6,15.2,36.5,39.2,14.5,1.86,4.2,497,28,3,2,,24.320538770829977,76.78773957922596
28.8,64.9,16.7,27.9,11.7,5.6,0.85,10.9,562,61,1,0,,20.613820295669612,75.34959585706731
35.0,76.4,20.3,28.2,19.9,11.2,1.68,6.6,430,32,2,4,,25.272495741062215,79.89840111006014
31.4,73.5,3.8,11.4,30.4,2.5,1.69,8.8,618,22,3,2,,17.255845620572767,74.17920950270974
17.4,43.7,10.8,17.5,25.0,1.5,0.83,10.2,515,25,1,0,,23.10300399731277,77.58959486080154
25.5,60.7,9.2,17.3,22.8,6.3,1.05,10.2,421,41,4,11,,15.797480904411106,75.80795330525343
25.5,59.6,5.6,12.0,11.6,7.6,1.01,12.4,582,31,2,0,,21.154034460420707,75.67051465290331
39.8,84.9,33.8,51.8,29.2,15.9,1.92,7.6,559,15,0,8,,24.872868744491107,81.77389516151449
35.0,71.5,10.2,18.8,28.7,11.4,1.46,5.4,443,39,1,14,,17.140721075613435,78.44850971366878
27.7,72.3,40.7,52.1,16.5,6.3,0.98,10.1,338,23,0,1,,16.73418938191663,77.26355853991109
23.2,74.7,2.6,14.7,21.1,1.6,1.3,5.5,449,48,1,5,,16.850727339626445,83.18503873052677
22.1,49.1,11.2,13.8,25.3,6.8,0.72,12.5,448,40,4,11,,25.308057289871453,82.54554721876372
19.6,59.7,10.2,18.3,23.2,0.9,1.03,10.7,238,25,2,4,,20.627109024088085,76.25549897385609
29.7,63.0,25.6,27.1,16.0,5.1,1.06,11.6,471,42,2,7,,20.887052203269626,76.71522298495861
26.3,79.9,3.0,8.1,14.6,9.1,1.02,11.4,347,30,1,8,,16.89226364834918,75.22156646289359
27.1,56.4,52.6,60.5,26.8,7.7,1.33,11.9,428,38,1,6,,23.106471981583425,77.51795286741094
34.0,86.5,48.7,58.1,59.3,9.6,3.37,4.3,909,34,4,4,,19.017489993065585,73.97476448512454
29.0,88.6,13.2,33.7,36.1,13.1,2.32,4.4,706,21,4,2,,16.315409228146116,80.78214107011682
28.2,87.5,2.8,10.6,27.0,8.3,1.77,5.0,538,23,1,1,,19.81454600299865,80.35431529156091
41.0,60.0,46.3,58.9,38.9,19.7,1.45,7.2,418,40,4,8,,23.31618828958833,83.89131807042352
34.3,48.9,18.1,27.7,29.2,5.4,1.65,5.6,304,26,0,3,,22.49096731927465,80.81310824337773
32.3,87.5,1.1,5.4,23.1,8.7,1.52,8.3,343,25,2,10,,20.21792015706683,81.7327363062048
27.3,79.7,3.5,7.7,27.5,5.4,1.05,11.3,285,20,0,12,,21.026405939012953,81.96555853472262
22.9,62.2,18.8,26.5,29.4,4.7,1.23,8.0,536,34,2,1,,22.22004999851897,81.52832703119353
22.3,68.9,9.3,14.7,17.2,3.5,0.97,10.8,373,50,1,8,,23.727059029034635,83.46278133826227
21.1,60.1,1.8,11.2,22.0,2.3,1.04,15.1,478,19,3,14,,17.200694705389843,78.40015848714434
32.2,77.3,6.3,18.6,17.3,13.3,1.6,8.4,454,30,3,2,,19.132980664937367,81.22589428804187
24.5,59.8,5.2,11.3,25.9,7.5,1.15,17.2,205,44,0,10,,19.36689651547764,77.7476139790396
25.8,77.8,3.3,9.3,19.5,6.3,1.27,13.3,343,29,2,8,,23.839914118119303,77.24194061575756
21.3,70.4,11.7,16.8,25.4,0.4,0.84,10.9,486,34,0,9,,17.38609309274521,80.3859621174263
30.8,69.0,8.1,21.3,17.8,8.0,1.37,5.6,635,19,2,2,,19.75578494633428,77.34666074334915
20.4,59.3,0.4,4.2,23.4,4.3,1.0,11.3,219,34,1,13,,17.302823924177257,77.06649069227166
29.9,78.1,57.8,60.5,26.5,11.6,1.19,8.9,578,28,3,3,,20.525618794111928,78.03939453060212
19.5,48.2,1.0,7.4,18.7,6.8,0.92,10.7,305,39,2,8,,20.211100950767893,81.33217133231555
29.5,41.5,4.7,8.7,21.5,1.8,1.09,10.3,210,41,1,5,,25.44742596328523,82.50610288408562
25.2,43.9,0.4,4.9,12.3,4.8,1.08,12.7,471,55,2,8,,20.721215439296714,74.96574573579639
39.1,91.6,139.5,154.6,49.8,17.7,3.32,5.9,566,35,3,2,,16.090417487157477,74.06865743574437
24.9,70.5,0.2,5.9,12.5,6.9,1.07,11.9,240,33,3,1,,20.141726618936264,82.37030051709131
28.9,65.5,1.2,4.7,24.0,3.7,1.02,10.6,534,31,0,7,,18.147706465684262,77.24251629576253
21.9,71.2,5.1,10.4,17.1,3.8,0.95,10.4,208,26,1,4,,22.177287221397073,75.06977789605591
22.6,47.3,1.8,9.0,22.5,5.0,1.17,11.2,433,33,4,4,,23.003619095450652,74.72156300475095
35.2,51.3,0.5,16.0,36.2,11.6,1.59,5.3,694,27,3,8,,20.825256552561758,76.62587667237844
35.9,70.8,30.1,48.9,35.1,10.2,1.86,4.0,671,31,1,0,,22.382269030410697,83.12126126989332
24.2,62.7,4.5,8.5,22.3,0.3,0.99,10.3,555,43,0,10,,20.461387655755345,81.16107174175193
31.5,80.0,86.1,89.9,22.7,10.5,1.41,6.1,647,19,4,6,,16.04198661863286,76.96416641459841
35.0,57.4,0.7,5.1,25.3,16.0,1.42,5.3,441,41,1,9,,25.147717653009057,81.72428074396784
18.8,57.1,37.2,46.4,37.4,24.5,2.01,5.3,528,43,3,8,,15.800226922019908,76.80923813244308
24.0,42.5,9.9,14.9,25.9,3.9,0.91,10.6,310,28,1,8,,17.315628328117302,79.2760225522746
43.5,89.6,20.9,46.8,41.5,14.2,2.31,5.0,594,8,2,1,,19.90398387234672,80.05116520665946
21.7,75.0,10.3,15.5,13.4,4.5,1.15,13.3,285,23,4,10,,23.53670050500488,81.45787449795891
17.6,77.1,20.0,24.3,22.6,5.2,0.99,12.2,487,42,1,7,,18.886366227941902,74.45569430535366
30.9,49.5,0.3,5.5,20.1,3.5,0.93,11.0,237,29,4,4,,18.303889711832184,83.60705364642564
33.9,59.2,61.7,81.9,41.5,21.6,1.72,7.1,503,20,2,5,,21.940745480136833,73.9859187767052
25.1,56.1,4.2,10.2,21.7,8.7,0.98,14.3,266,24,3,7,,17.332681153353704,77.06074463986171
23.5,54.8,2.3,9.1,15.4,5.7,1.06,11.8,325,38,4,6,,16.9219785065262,83.8360055216248
30.0,61.7,0.1,15.6,19.2,8.0,1.83,5.3,529,35,5,8,,19.460938957504105,74.61154089070133
32.0,48.9,14.9,36.0,29.4,27.4,2.41,3.9,697,27,1,12,,23.12081974433177,75.39706153874724
33.8,68.0,41.8,47.8,34.5,9.3,1.37,5.9,652,26,2,1,,19.168780158190426,77.93368307095214
31.0,46.3,12.4,31.1,30.1,19.2,1.31,8.0,484,26,3,9,,24.093355722916804,81.65077145462661
33.4,76.3,3.2,7.9,23.7,3.8,1.89,8.2,388,20,0,5,,15.858503590324531,78.03638664144324
32.9,102.4,26.6,41.3,26.6,15.7,1.86,5.4,394,46,1,10,,19.535905107075138,82.24434435958597
31.0,53.4,5.7,13.7,36.4,9.1,1.51,8.4,671,26,2,12,,24.37918458755719,75.38527226708169
35.4,85.1,18.4,25.0,25.3,6.5,1.56,5.3,425,42,0,6,,24.60927271669446,83.18966166052475
26.9,72.5,17.1,37.3,26.9,5.2,1.52,5.4,479,45,2,8,,22.652517524361166,80.37505060915969
23.0,43.6,1.7,7.5,24.5,5.9,0.88,10.5,317,39,4,10,,23.836076104962913,75.97422207998063
40.5,87.4,11.0,17.9,19.4,15.2,1.44,9.4,476,25,3,9,,20.91336536251577,76.73639997970955
26.8,47.4,8.7,14.2,14.3,3.6,1.08,10.9,344,34,2,11,,16.883606163429555,76.75639838222867
39.3,104.7,1.1,14.1,38.6,15.6,2.74,4.2,634,29,4,4,,17.158081884588363,81.03716943935709
34.2,89.5,95.6,110.4,34.9,10.0,1.98,5.4,566,20,3,3,,19.95648505860527,80.82928111804307
40.8,80.0,27.9,44.3,52.3,19.3,2.06,3.8,530,33,0,1,,15.51512831236738,79.09166428612446
33.8,92.2,18.0,41.1,25.2,15.7,2.11,3.7,407,18,2,5,,23.406353609969642,83.69075442903372
29.9,72.8,59.1,70.0,24.4,26.2,1.97,6.7,465,41,5,5,,20.741436491027038,83.63466953320228
29.4,64.6,13.7,29.0,27.6,13.0,1.83,5.0,722,25,1,5,,15.942922817373502,83.52721703930575
21.7,42.4,13.3,17.0,17.8,7.4,1.09,11.0,239,32,2,7,,21.419265634004304,81.64845486851395
24.4,54.0,2.2,5.3,27.9,5.3,1.05,10.6,431,32,2,8,,21.722208432307013,78.3110908166324
27.6,84.1,0.8,12.4,26.5,13.1,1.55,7.4,668,27,2,5,,18.695933541150808,77.14007959600242
30.4,67.5,16.5,21.0,43.4,15.4,1.97,9.6,502,35,1,7,,23.184200014469276,77.99499628378584
27.7,62.9,17.5,24.0,22.5,18.1,1.56,6.0,495,25,2,9,,15.571630926589034,78.35189439770274
23.3,48.1,32.0,35.7,23.1,1.1,0.93,10.6,321,38,0,2,,22.04915682681273,81.1732705668882
21.1,54.2,49.3,59.1,30.7,9.9,1.5,6.9,660,16,0,9,,24.983894959928694,82.0458086033859
25.4,44.4,0.4,7.0,22.9,3.7,1.16,10.3,451,31,0,3,,19.391687791129534,80.22192542053766
29.5,54.8,6.7,15.1,14.0,6.6,0.78,11.9,315,49,2,11,,16.200905649005893,76.59950888200784
45.0,82.6,17.4,27.2,46.3,10.1,2.82,3.7,592,19,5,6,,16.66893991895116,80.19356410501584
26.2,51.9,9.4,13.7,22.5,4.9,1.01,10.1,449,23,3,6,,24.03210651271371,73.96468743956332
29.4,44.4,11.1,18.8,19.1,6.2,0.99,13.4,304,35,4,0,,24.587131475209944,73.9413492829992
31.9,91.7,5.0,6.8,24.8,16.8,2.05,3.5,828,31,1,8,,17.915737678786375,83.80750882237626
